detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
61,0.29166293760182,0.07223972460537,trunk,å?ºé??é«?æ?¶é??,0,taipeh,2,328,121.53899,25.01258
73,0.318746347763732,0.122414260163541,trunk,?å???é??é??,0,taipeh,3,315,121.5263807,25.0194846
77,0.181247465658615,0.147978120191447,trunk,?å???é??é??,0,taipeh,2,312,121.5376769,25.0236418
121,0.228461700719667,0.134156544377415,tertiary,ç?°?å??ä¸??,0,taipeh,2,319,121.4989563,25.0409745
207,0.222946257267059,0.038880151702391,secondary,???äº??,0,taipeh,4,420,121.5688441,25.0328479
224,0.176930616636496,0.039882223401181,service,,0,taipeh,3,132,121.539112,25.013513
226,0.239005816357253,0.087751755994736,tertiary,æ??è¡?,0,taipeh,1,126,121.5310388,25.0141531
228,0.343628236715044,0.164975737157094,primary,ç¾?æ?¯??å???,0,taipeh,3,131,121.5362932,25.0128448
235,0.295420194525021,0.091541060090466,primary,ç¾?æ?¯??ä¸??,0,taipeh,3,135,121.5301515,25.0189013
236,0.161705745684188,0.021005962552327,tertiary,???,0,taipeh,2,316,121.4978666,25.0203648
238,0.157314380185926,0.075404957022332,primary,ç¾?æ?¯??ä¸??,0,taipeh,3,187,121.527021,25.0217872
243,0.276039714908022,0.152796600753791,secondary,å?ºé???äº??,0,taipeh,2,332,121.5512492,25.0230618
245,0.398557776241909,0.280280598341196,secondary,æ?¦å??å??äº??,0,taipeh,2,379,121.5490525,25.0255696
246,0.139214212811152,0.068185022925032,secondary,å?????äº??,0,taipeh,2,265,121.54426,25.0248532
249,0.233823901239689,0.186303293502029,tertiary,?å??å??äº??,0,taipeh,2,310,121.5379673,25.029137
250,0.689537973043301,0.549877136411998,residential,,0,taipeh,2,149,121.4914949,25.02504
251,0.149067956002572,0.036235453251776,secondary,æ?°ç??å??ä¸??,0,taipeh,3,139,121.5346537,25.0236526
252,0.178923299711941,0.083626635811579,secondary,å?????ä¸??,0,taipeh,3,193,121.5248354,25.0269031
253,0.167179403618044,0.050251881579057,secondary,å?????ä¸??,0,taipeh,3,189,121.5291768,25.0265628
254,0.145674547564178,0.057700403945225,tertiary,???äº??,0,taipeh,1,175,121.5051999,25.0287914
255,0.216385353894924,0.114348185952743,secondary,é???å??äº??,0,taipeh,2,192,121.5261735,25.0277965
256,0.107226956241419,0.04788952013139,tertiary,å?????ä¸??,0,taipeh,2,195,121.5184501,25.0266257
257,0.170650393721175,0.076170227443144,tertiary,è??è?º?é?,0,taipeh,3,166,121.49407,25.031159
258,0.151032185991028,0.050743020901364,secondary,æ?¦å??å??äº??,0,taipeh,2,381,121.5490321,25.0305015
262,0.203769116611673,0.157351677612558,secondary,?å???äº??,0,taipeh,2,151,121.4941319,25.0271398
267,0.245704978895307,0.17582895395331,secondary,é?æ?¶å??ä¸??,0,taipeh,2,182,121.5158135,25.0281829
269,0.197994010402699,0.115514176413998,secondary,å?ºé???äº??,0,taipeh,3,335,121.5571611,25.0290619
271,0.168030983518728,0.069896235630574,tertiary,???,0,taipeh,2,419,121.5682363,25.0311679
275,0.091010120972231,0.03351674175033,tertiary,???,0,taipeh,1,156,121.5005914,25.0300391
276,0.152542234113249,0.065163614049234,residential,è??å???,0,taipeh,1,158,121.5013576,25.0312098
279,0.180466480876979,0.075401748462984,service,,0,taipeh,3,165,121.4942229,25.0310448
280,0.236048726781203,0.05560836253577,secondary,é?æ?¶å??äº??,0,taipeh,2,180,121.514697,25.0313639
281,0.281126813278362,0.052133670334253,secondary,é?æ?¶å??äº??,0,taipeh,2,184,121.5132038,25.033909
283,0.269971224075368,0.160328819664783,secondary,???äº??,0,taipeh,2,418,121.56649,25.032796
284,0.136801940283119,0.050458374780406,secondary,å???å??,0,taipeh,2,338,121.5574422,25.034729
286,0.177792085472361,0.093353964317846,secondary,???äº??,0,taipeh,2,402,121.5602744,25.0329559
290,0.238273802545878,0.170910941094383,tertiary,?å??å??äº??,0,taipeh,3,309,121.53746,25.030494
293,0.247295314008297,0.124204194627044,secondary,???äº??,0,taipeh,2,201,121.5286703,25.0338999
297,0.303522223325882,0.086508640424325,secondary,???äº??,0,taipeh,2,210,121.5251693,25.0350601
298,0.153668294611313,0.056215202886241,primary,??å??,0,taipeh,2,71,121.5189153,25.0427638
300,0.354206569772467,0.209738139464062,service,,0,taipeh,2,186,121.5126692,25.0367529
301,0.239028088821094,0.124428880656922,primary,å?????ä¸??,0,taipeh,2,219,121.4959976,25.0353837
302,0.390029892844273,0.204670028432016,secondary,æ?¦å??å??ä¸??,0,taipeh,2,383,121.548875,25.0351108
303,0.178768638952136,0.086584118166584,service,???äº??39?,0,taipeh,4,216,121.5063273,25.0352046
304,0.157344589229708,0.064325936515134,secondary,å?ºé???ä¸??,0,taipeh,5,405,121.5602557,25.0338804
305,0.18242912885971,0.119406587476316,secondary,å?ºé???è»?è¡?å?°ä¸?é?,0,taipeh,2,403,121.5617915,25.0363368
312,0.124981667067875,0.092903833076519,secondary,å???å??,0,taipeh,2,339,121.55763,25.036653
313,0.293751020156554,0.123506820565033,residential,?æ???å???,0,taipeh,2,340,121.55909,25.03773
314,0.218541832320504,0.042591167257296,secondary,å¸?åº??,0,taipeh,2,435,121.56357,25.039687
315,0.137127764240186,0.106020118268476,tertiary,æ¡?æ???,0,taipeh,1,217,121.5041107,25.0379193
318,0.209844811736198,0.139895698800931,tertiary,?å??å??ä¸??,0,taipeh,2,307,121.5382464,25.0366775
319,0.202167286473505,0.108710087052559,tertiary,?å??å??ä¸??,0,taipeh,3,308,121.5375495,25.0356278
320,0.323589638067875,0.112796942127481,secondary,é???å??ä¸??,0,taipeh,2,49,121.5280459,25.0370472
321,0.199087108599721,0.102623166089885,tertiary,æ¡?æ???,0,taipeh,1,221,121.4986739,25.0384282
325,0.220056744002417,0.134819119570301,trunk_link,,0,taipeh,2,306,121.53813,25.03905
333,0.22044175591335,0.031073215331603,secondary,å?ºé???ä¸??,0,taipeh,2,436,121.56444,25.040857
334,0.250345769609289,0.056933866943646,primary,????äº??,0,taipeh,3,432,121.5666486,25.0411467
338,0.111997761828419,0.077704855248946,primary,????å???,0,taipeh,3,263,121.54647,25.0414752
339,0.189633904018014,0.065471364772585,secondary,æ?¦å??å??ä¸??,0,taipeh,2,385,121.5489328,25.039614
340,0.152864030132819,0.065830142725991,primary,????å???,0,taipeh,3,399,121.5536617,25.0414741
341,0.242708049315795,0.126800822823169,secondary,å¸?æ°??é?å???,0,taipeh,2,440,121.5473693,25.0449017
344,0.228679058464109,0.143142045966642,primary,????å???,0,taipeh,3,262,121.545322,25.0416291
